problem,rows,minimum_score,q1_score,median_score,q3_score,maximum_score,rows_at_maximum,mean_score_gain,median_plateau_fraction,model_improvement_fraction,median_duplicates_per_generation,median_repairs_per_generation,median_model_valid_fraction,median_model_train_calls,top_config_id,top_best_generation,top_best_model_epoch,top_time_to_best_seconds,top_n_items
misr,27,1.125,1.25,1.3333333333333333,1.3333333333333335,1.5,1,0.30493827160493825,0.9751226826608506,0.0,17.156495694496442,0.871936868337256,0.3924683132921677,2199.0,misr/triangle_free_rect/sequence_pair_pivot/exact_lp_gap_pressure,4345,1860,11231.834610372083,12
unit_square,27,1.2,1.2828947368421053,1.3461538461538465,1.4285714285714288,1.5000000000000004,4,0.30250472332805534,0.7435704617235674,0.011904761904761904,9.462417488821066,1.1006191054793728,0.3875,2236.0,unit_square/sqstab_exact_grid/coord_mutation/exact_stab_gap_pressure,280,117,1248.4405882395804,14
guillotine,27,0.1538461538461538,0.24264705882352938,0.25,0.2727272727272727,0.3333333333333333,1,0.07236825355609099,0.8050285182167385,0.05405405405405406,7.254868218458473,1.995018567158772,0.9494577308120132,749.0,guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp,2030,858,20915.01611273736,9
