problem,factor,level,count,mean,median,minimum,maximum,q1,q3
misr,representation,endpoint_sequence_pair,9,1.2685185185185184,1.25,1.25,1.3333333333333337,1.25,1.2500000000000002
misr,representation,quadratic_program_rectangles,9,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
misr,representation,triangle_free_rect,9,1.3546296296296296,1.375,1.125,1.5,1.3333333333333333,1.375
misr,local_search,lp_dual_pivot,9,1.3148148148148147,1.3333333333333333,1.25,1.375,1.2500000000000002,1.3333333333333333
misr,local_search,program_coeff_pivot,9,1.3268518518518517,1.3333333333333333,1.25,1.4,1.3333333333333333,1.3333333333333333
misr,local_search,sequence_pair_pivot,9,1.3148148148148147,1.3333333333333333,1.125,1.5,1.25,1.3333333333333337
misr,surrogate,exact_lp_gap_pressure,9,1.3453703703703703,1.3333333333333333,1.25,1.5,1.3333333333333333,1.375
misr,surrogate,graph_conflict_proxy,9,1.2824074074074074,1.3333333333333333,1.125,1.3333333333333333,1.25,1.3333333333333333
misr,surrogate,triangle_free_exact_gap_pressure,9,1.3287037037037035,1.3333333333333333,1.25,1.375,1.3333333333333333,1.375
unit_square,representation,line_square_incidence,9,1.3517523345109554,1.3333333333333333,1.206896551724138,1.5000000000000004,1.25,1.4285714285714288
unit_square,representation,sqstab_exact_grid,9,1.387161571372098,1.3636363636363638,1.3157894736842104,1.5000000000000004,1.3333333333333333,1.4285714285714288
unit_square,representation,square_direct,9,1.333679629180478,1.3157894736842106,1.2,1.4516129032258065,1.25,1.4285714285714288
unit_square,local_search,coord_mutation,9,1.3545922888028152,1.3333333333333333,1.25,1.5000000000000004,1.25,1.4285714285714288
unit_square,local_search,primal_dual_lines,9,1.3210645038231246,1.3333333333333333,1.2,1.4285714285714288,1.25,1.4285714285714288
unit_square,local_search,sqstab_local_hillclimb,9,1.3969367424375916,1.3636363636363635,1.3157894736842106,1.5000000000000004,1.3333333333333333,1.4516129032258065
unit_square,surrogate,exact_stab_gap_pressure,9,1.462877624167947,1.4516129032258065,1.4285714285714288,1.5000000000000004,1.4285714285714288,1.5000000000000004
unit_square,surrogate,greedy_partial_lp_bitset,9,1.3080589908176115,1.3461538461538465,1.2,1.4285714285714286,1.25,1.3636363636363638
unit_square,surrogate,incidence_statistics,9,1.3016569200779726,1.3157894736842106,1.25,1.3333333333333333,1.25,1.3333333333333333
guillotine,representation,rect_direct_disjoint,9,0.2382650029708853,0.25,0.1666666666666666,0.3333333333333333,0.1818181818181818,0.2727272727272727
guillotine,representation,recursive_obstruction_grammar,9,0.25558483384570335,0.25,0.25,0.2727272727272727,0.25,0.2608695652173913
guillotine,representation,sequence_pair_packing,9,0.23885381455713933,0.25,0.1538461538461538,0.3,0.1764705882352941,0.2727272727272727
guillotine,local_search,packing_resize,9,0.2534165181224004,0.25,0.2352941176470588,0.2727272727272727,0.25,0.25
guillotine,local_search,recursive_gadget_assembly,9,0.19828142398474877,0.1818181818181818,0.1538461538461538,0.25,0.1739130434782608,0.25
guillotine,local_search,witness_breaking,9,0.2810057092665788,0.2727272727272727,0.25,0.3333333333333333,0.2666666666666666,0.3
guillotine,surrogate,depth_limited_dp,9,0.2559714795008912,0.2666666666666666,0.1764705882352941,0.3333333333333333,0.25,0.2727272727272727
guillotine,surrogate,first_cut_obstruction,9,0.2423465423465423,0.25,0.1538461538461538,0.3,0.25,0.2727272727272727
guillotine,surrogate,k_subset_nonseparability,9,0.23438562952629446,0.25,0.1666666666666666,0.2727272727272727,0.2352941176470588,0.25
