problem,rows,minimum_score,q1_score,median_score,q3_score,maximum_score,rows_at_maximum,mean_score_gain,median_plateau_fraction,model_improvement_fraction,median_duplicates_per_generation,median_duplicate_slot_fraction,median_repairs_per_generation,median_model_valid_fraction,median_model_train_calls,top_config_id,top_best_generation,top_best_model_epoch,top_time_to_best_seconds,top_n_items
misr,27,1.0,1.225,1.3,1.3333333333333333,1.5,1,0.26049382716049385,0.9751226826608506,0.0,8.393431432038835,0.4264047619047619,0.2295071077454497,0.1109903665413533,2150.0,misr/triangle_free_rect/sequence_pair_pivot/exact_lp_gap_pressure,4345,1860,11231.834610372083,12
unit_square,27,1.25,1.3333333333333333,1.4141414141414144,1.5000000000000004,1.538461538461539,1,0.34286256880917465,0.6414010784270746,0.004524886877828055,9.786125902691662,0.3614155537373311,0.5344202272805775,0.2596303285968028,2116.0,unit_square/sqstab_exact_grid/symmetry_crossover_hillclimb/exact_stab_gap_pressure,190,54,1340.4237353419885,20
guillotine,27,0.1666666666666666,0.1666666666666666,0.25,0.25,0.3333333333333333,1,0.04767313454440476,0.8716887417218543,0.014705882352941176,5.228014951800118,0.2264590231788079,1.552026286966046,0.8666424418604651,484.0,guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp,2030,858,20915.01611273736,9
